Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
"Zinserträge § 233a AO, § 4 Abs. 5b EStG, steuerfrei",10 - sonstige Zinsen und ähnliche Erträge,7107,,0,Income Account,Income,EUR
Sonstige Zinserträge,10 - sonstige Zinsen und ähnliche Erträge,7110,,0,Income Account,Income,EUR
Erträge aus anderen Wertpapieren und Ausleihungen des Umlaufvermögens,10 - sonstige Zinsen und ähnliche Erträge,7115,,0,Income Account,Income,EUR
Zinsähnliche Erträge,10 - sonstige Zinsen und ähnliche Erträge,7120,,0,Income Account,Income,EUR
Diskonterträge,10 - sonstige Zinsen und ähnliche Erträge,7130,,0,Income Account,Income,EUR
Zinserträge aus der Abzinsung von Verbindlichkeiten,10 - sonstige Zinsen und ähnliche Erträge,7141,,0,Income Account,Income,EUR
Zinserträge aus der Abzinsung von Rückstellungen,10 - sonstige Zinsen und ähnliche Erträge,7142,,0,Income Account,Income,EUR
Zinserträge aus der Abzinsung von Pensionsrückstellungen und ähnlichen/vergleichbaren Verpflichtungen,10 - sonstige Zinsen und ähnliche Erträge,7143,,0,Income Account,Income,EUR
Zinserträge aus der Abzinsung von Pensionsrückstellungen und ähnlichen Verpflichtungen zur Verrechnung,10 - sonstige Zinsen und ähnliche Erträge,7144,,0,Income Account,Income,EUR
10 - davon aus verbundenen Unternehmen (Gruppe),10 - sonstige Zinsen und ähnliche Erträge,,,1,,Income,EUR
Sonstige Zinsen und ähnliche Erträge aus verbundenen Unternehmen,10 - davon aus verbundenen Unternehmen (Gruppe),7109,,0,Income Account,Income,EUR
Sonstige Zinserträge aus verbundenen Unternehmen,10 - davon aus verbundenen Unternehmen (Gruppe),7119,,0,Income Account,Income,EUR
Zinsähnliche Erträge aus verbundenen Unternehmen,10 - davon aus verbundenen Unternehmen (Gruppe),7129,,0,Income Account,Income,EUR
Diskonterträge aus verbundenen Unternehmen,10 - davon aus verbundenen Unternehmen (Gruppe),7139,,0,Income Account,Income,EUR
11 - Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens,,,,1,,Expense,EUR
Abschreibungen auf Finanzanlagen (dauerhaft),11 - Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens,7200,,0,Expense Account,Expense,EUR
Abschreibungen auf Finanzanlagen (nicht dauerhaft),11 - Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens,7201,,0,Expense Account,Expense,EUR
"Abschreibungen auf Finanzanlagen § 3 Nr. 40 EStG / § 8b Abs. 3 KStG (inl. Kap.Ges., dauerh.)",11 - Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens,7204,,0,Expense Account,Expense,EUR
Abschreibungen auf Finanzanlagen – verbundene Unternehmen,11 - Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens,7207,,0,Expense Account,Expense,EUR
Aufwendungen auf Grund von Verlustanteilen an Mitunternehmerschaften § 8 GewStG,11 - Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens,7208,,0,Expense Account,Expense,EUR
Abschreibungen auf Wertpapiere des Umlaufvermögens (Gruppe),11 - Abschreibungen auf Finanzanlagen und auf Wertpapiere des Umlaufvermögens,,,1,,Expense,EUR
Abschreibungen auf Wertpapiere des Umlaufvermögens,Abschreibungen auf Wertpapiere des Umlaufvermögens (Gruppe),7210,,0,Expense Account,Expense,EUR
Abschreibungen auf Wertpapiere des Umlaufvermögens §3Nr.40EStG/§8bAbs.3KStG (inl. Kap.Ges.),Abschreibungen auf Wertpapiere des Umlaufvermögens (Gruppe),7214,,0,Expense Account,Expense,EUR
Abschreibungen auf Wertpapiere des Umlaufvermögens – verbundene Unternehmen,Abschreibungen auf Wertpapiere des Umlaufvermögens (Gruppe),7217,,0,Expense Account,Expense,EUR
12 - Zinsen und ähnliche Aufwendungen,,,,1,,Expense,EUR
Zinsen und ähnliche Aufwendungen,12 - Zinsen und ähnliche Aufwendungen,7300,,0,Expense Account,Expense,EUR
Steuerlich nicht abzugsfähige andere Nebenleistungen zu Steuern § 4 Abs. 5b EStG,12 - Zinsen und ähnliche Aufwendungen,7302,,0,Expense Account,Expense,EUR
"Steuerlich abzugsfähige, andere Nebenleistungen zu Steuern",12 - Zinsen und ähnliche Aufwendungen,7303,,0,Expense Account,Expense,EUR
"Steuerlich nicht abzugsfähige, andere Nebenleistungen zu Steuern",12 - Zinsen und ähnliche Aufwendungen,7304,,0,Expense Account,Expense,EUR
Zinsaufwendungen § 233a AO betriebliche Steuern,12 - Zinsen und ähnliche Aufwendungen,7305,,0,Expense Account,Expense,EUR
Zinsaufwendungen §§ 233a bis 237 AO Personensteuern,12 - Zinsen und ähnliche Aufwendungen,7306,,0,Expense Account,Expense,EUR
"Zinsaufwendungen § 233a AO, § 4 Abs. 5b EStG",12 - Zinsen und ähnliche Aufwendungen,7308,,0,Expense Account,Expense,EUR
Zinsaufwendungen für kurzfristige Verbindlichkeiten,12 - Zinsen und ähnliche Aufwendungen,7310,,0,Expense Account,Expense,EUR
Nicht abzugsfähige Schuldzinsen gemäß § 4 Abs. 4a EStG (Hinzurechnungsbetrag),12 - Zinsen und ähnliche Aufwendungen,7313,,0,Expense Account,Expense,EUR
Zinsen auf Kontokorrentkonten,12 - Zinsen und ähnliche Aufwendungen,7318,,0,Expense Account,Expense,EUR
Zinsaufwendungen für langfristige Verbindlichkeiten,12 - Zinsen und ähnliche Aufwendungen,7320,,0,Expense Account,Expense,EUR
Abschreibungen auf Disagio/Damnum zur Finanzierung,12 - Zinsen und ähnliche Aufwendungen,7323,,0,Expense Account,Expense,EUR
Abschreibungen auf Disagio/Damnum zur Finanzierung des Anlagevermögens,12 - Zinsen und ähnliche Aufwendungen,7324,,0,Expense Account,Expense,EUR
"Zinsaufwendungen für Gebäude, die zum Betriebsvermögen gehören",12 - Zinsen und ähnliche Aufwendungen,7325,,0,Expense Account,Expense,EUR
Zinsen zur Finanzierung des Anlagevermögens,12 - Zinsen und ähnliche Aufwendungen,7326,,0,Expense Account,Expense,EUR
Renten und dauernde Lasten,12 - Zinsen und ähnliche Aufwendungen,7327,,0,Expense Account,Expense,EUR
Zinsähnliche Aufwendungen,12 - Zinsen und ähnliche Aufwendungen,7330,,0,Expense Account,Expense,EUR
Diskontaufwendungen,12 - Zinsen und ähnliche Aufwendungen,7340,,0,Expense Account,Expense,EUR
"Zinsen und ähnlichen Aufwendungen §§3Nr.40,3cEStG/§8bAbs.1KStG (inl. Kap.Ges.)",12 - Zinsen und ähnliche Aufwendungen,7350,,0,Expense Account,Expense,EUR
Kreditprovisionen und Verwaltungskostenbeiträge,12 - Zinsen und ähnliche Aufwendungen,7355,,0,Expense Account,Expense,EUR
Zinsanteil der Zuführungen zu Pensionsrückstellungen,12 - Zinsen und ähnliche Aufwendungen,7360,,0,Expense Account,Expense,EUR
Zinsaufwendungen aus der Abzinsung von Verbindlichkeiten,12 - Zinsen und ähnliche Aufwendungen,7361,,0,Expense Account,Expense,EUR
Zinsaufwendungen aus der Abzinsung von Rückstellungen,12 - Zinsen und ähnliche Aufwendungen,7362,,0,Expense Account,Expense,EUR
Zinsaufwendungen aus der Abzinsung von Pensionsrückstellungen und ähnlichen Verpflichtungen,12 - Zinsen und ähnliche Aufwendungen,7363,,0,Expense Account,Expense,EUR
Zinsaufwendungen aus der Abzinsung von Pensionsrückstellungen und ähnlichen Verpflichtungen zur Verrechnung,12 - Zinsen und ähnliche Aufwendungen,7364,,0,Expense Account,Expense,EUR
12 - davon an verbundene Unternehmen (Gruppe),12 - Zinsen und ähnliche Aufwendungen,,,1,,Expense,EUR
Zinsen und ähnliche Aufwendungen an verb. Unternehmen,12 - davon an verbundene Unternehmen (Gruppe),7309,,0,Expense Account,Expense,EUR
Zinsaufwendungen für kurzfistige Verbindlichkeiten an verb. Unternehmen,12 - davon an verbundene Unternehmen (Gruppe),7319,,0,Expense Account,Expense,EUR
Zinsaufwendungen für langfristigeVerbindlichkeiten an verb. Unternehmen,12 - davon an verbundene Unternehmen (Gruppe),7329,,0,Expense Account,Expense,EUR
Diskontaufwendungen an verb. Unternehmen,12 - davon an verbundene Unternehmen (Gruppe),7349,,0,Expense Account,Expense,EUR
Zinsen und ähnliche Aufwendungen an verb. Unternehmen (inl. Kap.Ges.),12 - davon an verbundene Unternehmen (Gruppe),7351,,0,Expense Account,Expense,EUR
"12b - Aufwendungen aus Verlustübernahme und a. G. einer Gewinngemeinschaft, eines Gewinnabführungsvertrags abgeführte Gewinne",,,,1,,Expense,EUR
Aufwendungen aus Verlustübernahme (Mutter) (Gruppe),"12b - Aufwendungen aus Verlustübernahme und a. G. einer Gewinngemeinschaft, eines Gewinnabführungsvertrags abgeführte Gewinne",,,1,,Expense,EUR
Aufwendungen aus Verlustübernahme,Aufwendungen aus Verlustübernahme (Mutter) (Gruppe),7390,,0,Expense Account,Expense,EUR
13 - Steuern vom Einkommen und vom Ertrag,,,,1,,Expense,EUR
Körperschaftsteuer,13 - Steuern vom Einkommen und vom Ertrag,7600,,0,Expense Account,Expense,EUR
Gewerbesteuer,13 - Steuern vom Einkommen und vom Ertrag,7610,,0,Expense Account,Expense,EUR
Kapitalertragsteuer 25 %,13 - Steuern vom Einkommen und vom Ertrag,7630,,0,Expense Account,Expense,EUR
Anrechenbarer Solidaritätszuschlag auf Kapitalertragsteuer 25 %,13 - Steuern vom Einkommen und vom Ertrag,7633,,0,Expense Account,Expense,EUR
Anzurechnende ausländische Quellensteuer,13 - Steuern vom Einkommen und vom Ertrag,7639,,0,Expense Account,Expense,EUR
Gewerbesteuernachzahlungen Vorjahre,13 - Steuern vom Einkommen und vom Ertrag,7640,,0,Expense Account,Expense,EUR
